cont;experiment;percent
50;con;64
50;con_b;44
50;con_w;44
50;inc;7
50;inc_b;37
50;inc_w;15
50;osc;17
51;osc_b;48
51;osc_w;23
51;dec;33
51;dec_b;33
51;dec_w;33
51;con;64
51;con_b;44
51;con_w;44
51;inc;7
51;inc_b;36
51;inc_w;13
51;osc;17
52;osc_b;48
52;osc_w;23
52;dec;33
52;dec_b;33
52;dec_w;33
52;con;64
52;con_b;44
52;con_w;44
52;inc;7
52;inc_b;36
52;inc_w;13
52;osc;17
53;osc_b;48
53;osc_w;23
53;dec;33
53;dec_b;33
53;dec_w;33
53;con;64
53;con_b;44
53;con_w;44
53;inc;7
53;inc_b;36
53;inc_w;13
53;osc;17
54;osc_b;48
54;osc_w;23
54;dec;33
54;dec_b;33
54;dec_w;33
54;con;64
54;con_b;44
54;con_w;44
54;inc;7
54;inc_b;36
54;inc_w;13
54;osc;17
55;osc_b;48
55;osc_w;23
55;dec;33
55;dec_b;33
55;dec_w;33
55;con;64
55;con_b;44
55;con_w;44
55;inc;7
55;inc_b;36
55;inc_w;13
55;osc;17
56;osc_b;48
56;osc_w;23
56;dec;33
56;dec_b;33
56;dec_w;33
56;con;64
56;con_b;44
56;con_w;44
56;inc;7
56;inc_b;34
56;inc_w;13
56;osc;17
57;osc_b;48
57;osc_w;23
57;dec;33
57;dec_b;33
57;dec_w;33
57;con;64
57;con_b;44
57;con_w;44
57;inc;7
57;inc_b;34
57;inc_w;13
57;osc;17
58;osc_b;48
58;osc_w;23
58;dec;33
58;dec_b;33
58;dec_w;33
58;con;64
58;con_b;44
58;con_w;44
58;inc;7
58;inc_b;34
58;inc_w;13
58;osc;17
59;osc_b;48
59;osc_w;23
59;dec;33
59;dec_b;33
59;dec_w;33
59;con;64
59;con_b;44
59;con_w;44
59;inc;7
59;inc_b;34
59;inc_w;13
59;osc;17
60;osc_b;48
60;osc_w;23
60;dec;33
60;dec_b;33
60;dec_w;33
60;con;64
60;con_b;44
60;con_w;44
60;inc;7
60;inc_b;34
60;inc_w;13
60;osc;17
61;osc_b;48
61;osc_w;23
61;dec;33
61;dec_b;33
61;dec_w;33
61;con;64
61;con_b;43
61;con_w;44
61;inc;7
61;inc_b;34
61;inc_w;13
61;osc;17
62;osc_b;48
62;osc_w;23
62;dec;33
62;dec_b;33
62;dec_w;33
62;con;64
62;con_b;43
62;con_w;43
62;inc;7
62;inc_b;34
62;inc_w;13
62;osc;17
63;osc_b;49
63;osc_w;23
63;dec;33
63;dec_b;33
63;dec_w;33
63;con;64
63;con_b;43
63;con_w;43
63;inc;7
63;inc_b;34
63;inc_w;13
63;osc;21
64;osc_b;49
64;osc_w;24
64;dec;33
64;dec_b;33
64;dec_w;33
64;con;64
64;con_b;43
64;con_w;43
64;inc;7
64;inc_b;34
64;inc_w;13
64;osc;21
65;osc_b;49
65;osc_w;24
65;dec;33
65;dec_b;33
65;dec_w;33
65;con;64
65;con_b;43
65;con_w;43
65;inc;7
65;inc_b;37
65;inc_w;13
65;osc;21
66;osc_b;49
66;osc_w;24
66;dec;33
66;dec_b;33
66;dec_w;33
66;con;64
66;con_b;43
66;con_w;43
66;inc;7
66;inc_b;37
66;inc_w;13
66;osc;21
67;osc_b;33
67;osc_w;24
67;dec;33
67;dec_b;33
67;dec_w;33
67;con;64
67;con_b;43
67;con_w;43
67;inc;8
67;inc_b;26
67;inc_w;13
67;osc;21
68;osc_b;47
68;osc_w;24
68;dec;33
68;dec_b;33
68;dec_w;33
68;con;64
68;con_b;43
68;con_w;43
68;inc;8
68;inc_b;25
68;inc_w;15
68;osc;21
69;osc_b;47
69;osc_w;21
69;dec;33
69;dec_b;33
69;dec_w;33
69;con;64
69;con_b;43
69;con_w;43
69;inc;8
69;inc_b;25
69;inc_w;15
69;osc;21
70;osc_b;47
70;osc_w;26
70;dec;33
70;dec_b;33
70;dec_w;33
70;con;64
70;con_b;43
70;con_w;43
70;inc;8
70;inc_b;25
70;inc_w;16
70;osc;21
71;osc_b;47
71;osc_w;26
71;dec;33
71;dec_b;33
71;dec_w;33
71;con;64
71;con_b;43
71;con_w;43
71;inc;8
71;inc_b;25
71;inc_w;16
71;osc;21
72;osc_b;47
72;osc_w;26
72;dec;33
72;dec_b;33
72;dec_w;33
72;con;64
72;con_b;43
72;con_w;43
72;inc;8
72;inc_b;24
72;inc_w;16
72;osc;21
73;osc_b;47
73;osc_w;26
73;dec;33
73;dec_b;33
73;dec_w;33
73;con;64
73;con_b;43
73;con_w;43
73;inc;8
73;inc_b;24
73;inc_w;16
73;osc;21
74;osc_b;47
74;osc_w;26
74;dec;33
74;dec_b;33
74;dec_w;33
74;con;64
74;con_b;43
74;con_w;43
74;inc;8
74;inc_b;24
74;inc_w;16
74;osc;21
75;osc_b;47
75;osc_w;26
75;dec;33
75;dec_b;33
75;dec_w;33
75;con;64
75;con_b;43
75;con_w;43
75;inc;8
75;inc_b;25
75;inc_w;16
75;osc;21
76;osc_b;47
76;osc_w;26
76;dec;33
76;dec_b;33
76;dec_w;33
76;con;64
76;con_b;43
76;con_w;43
76;inc;8
76;inc_b;23
76;inc_w;17
76;osc;21
77;osc_b;47
77;osc_w;26
77;dec;33
77;dec_b;33
77;dec_w;33
77;con;64
77;con_b;43
77;con_w;42
77;inc;8
77;inc_b;23
77;inc_w;17
77;osc;21
78;osc_b;47
78;osc_w;26
78;dec;33
78;dec_b;33
78;dec_w;33
78;con;64
78;con_b;43
78;con_w;42
78;inc;8
78;inc_b;23
78;inc_w;17
78;osc;21
79;osc_b;47
79;osc_w;26
79;dec;33
79;dec_b;33
79;dec_w;33
79;con;64
79;con_b;43
79;con_w;42
79;inc;8
79;inc_b;23
79;inc_w;17
79;osc;21
80;osc_b;47
80;osc_w;26
80;dec;33
80;dec_b;33
80;dec_w;33
80;con;64
80;con_b;43
80;con_w;42
80;inc;8
80;inc_b;23
80;inc_w;17
80;osc;21
81;osc_b;47
81;osc_w;26
81;dec;33
81;dec_b;33
81;dec_w;33
81;con;64
81;con_b;43
81;con_w;42
81;inc;8
81;inc_b;23
81;inc_w;17
81;osc;21
82;osc_b;69
82;osc_w;26
82;dec;33
82;dec_b;33
82;dec_w;33
82;con;64
82;con_b;43
82;con_w;42
82;inc;8
82;inc_b;25
82;inc_w;17
82;osc;21
83;osc_b;69
83;osc_w;42
83;dec;33
83;dec_b;33
83;dec_w;33
83;con;64
83;con_b;43
83;con_w;42
83;inc;8
83;inc_b;25
83;inc_w;17
83;osc;21
84;osc_b;69
84;osc_w;42
84;dec;33
84;dec_b;33
84;dec_w;33
84;con;64
84;con_b;43
84;con_w;42
84;inc;10
84;inc_b;26
84;inc_w;17
84;osc;21
85;osc_b;69
85;osc_w;42
85;dec;33
85;dec_b;33
85;dec_w;33
85;con;64
85;con_b;43
85;con_w;42
85;inc;10
85;inc_b;29
85;inc_w;17
85;osc;21
86;osc_b;69
86;osc_w;42
86;dec;33
86;dec_b;33
86;dec_w;33
86;con;64
86;con_b;43
86;con_w;42
86;inc;10
86;inc_b;29
86;inc_w;17
86;osc;21
87;osc_b;69
87;osc_w;42
87;dec;33
87;dec_b;33
87;dec_w;33
87;con;64
87;con_b;43
87;con_w;42
87;inc;10
87;inc_b;29
87;inc_w;16
87;osc;21
88;osc_b;69
88;osc_w;42
88;dec;33
88;dec_b;33
88;dec_w;33
88;con;64
88;con_b;43
88;con_w;42
88;inc;10
88;inc_b;29
88;inc_w;17
88;osc;21
89;osc_b;69
89;osc_w;42
89;dec;33
89;dec_b;33
89;dec_w;33
89;con;64
89;con_b;43
89;con_w;42
89;inc;10
89;inc_b;29
89;inc_w;17
89;osc;21
90;osc_b;69
90;osc_w;42
90;dec;33
90;dec_b;33
90;dec_w;33
90;con;64
90;con_b;43
90;con_w;42
90;inc;10
90;inc_b;29
90;inc_w;17
90;osc;21
91;osc_b;69
91;osc_w;42
91;dec;33
91;dec_b;33
91;dec_w;33
91;con;64
91;con_b;43
91;con_w;39
91;inc;10
91;inc_b;32
91;inc_w;17
91;osc;21
92;osc_b;57
92;osc_w;42
92;dec;33
92;dec_b;33
92;dec_w;33
92;con;64
92;con_b;43
92;con_w;39
92;inc;10
92;inc_b;32
92;inc_w;17
92;osc;21
93;osc_b;57
93;osc_w;40
93;dec;33
93;dec_b;33
93;dec_w;33
93;con;64
93;con_b;43
93;con_w;39
93;inc;10
93;inc_b;32
93;inc_w;17
93;osc;21
94;osc_b;57
94;osc_w;40
94;dec;33
94;dec_b;33
94;dec_w;33
94;con;64
94;con_b;40
94;con_w;39
94;inc;10
94;inc_b;34
94;inc_w;17
94;osc;21
95;osc_b;57
95;osc_w;40
95;dec;33
95;dec_b;33
95;dec_w;33
95;con;64
95;con_b;40
95;con_w;39
95;inc;10
95;inc_b;34
95;inc_w;17
95;osc;21
96;osc_b;57
96;osc_w;40
96;dec;33
96;dec_b;33
96;dec_w;33
96;con;64
96;con_b;40
96;con_w;39
96;inc;10
96;inc_b;34
96;inc_w;17
96;osc;21
97;osc_b;57
97;osc_w;40
97;dec;33
97;dec_b;33
97;dec_w;33
97;con;64
97;con_b;40
97;con_w;39
97;inc;10
97;inc_b;34
97;inc_w;17
97;osc;21
98;osc_b;57
98;osc_w;40
98;dec;33
98;dec_b;33
98;dec_w;33
98;con;64
98;con_b;40
98;con_w;39
98;inc;10
98;inc_b;34
98;inc_w;17
98;osc;21
99;osc_b;57
99;osc_w;40
99;dec;33
99;dec_b;33
99;dec_w;33
99;con;64
99;con_b;40
99;con_w;39
99;inc;10
99;inc_b;34
99;inc_w;17
99;osc;21
100;osc_b;57
100;osc_w;40
100;dec;33
100;dec_b;33
100;dec_w;33
100;con;64
100;con_b;40
100;con_w;39
100;inc;10
100;inc_b;34
100;inc_w;18
100;osc;21
101;osc_b;45
101;osc_w;40
101;dec;33
101;dec_b;33
101;dec_w;33
101;con;64
101;con_b;40
101;con_w;40
101;inc;10
101;inc_b;35
101;inc_w;18
101;osc;21
102;osc_b;45
102;osc_w;40
102;dec;33
102;dec_b;33
102;dec_w;33
102;con;64
102;con_b;40
102;con_w;40
102;inc;10
102;inc_b;35
102;inc_w;16
102;osc;21
103;osc_b;45
103;osc_w;27
103;dec;33
103;dec_b;33
103;dec_w;33
103;con;64
103;con_b;40
103;con_w;40
103;inc;10
103;inc_b;35
103;inc_w;16
103;osc;21
104;osc_b;45
104;osc_w;27
104;dec;33
104;dec_b;33
104;dec_w;33
104;con;64
104;con_b;40
104;con_w;40
104;inc;10
104;inc_b;35
104;inc_w;16
104;osc;21
105;osc_b;45
105;osc_w;27
105;dec;33
105;dec_b;33
105;dec_w;33
105;con;64
105;con_b;40
105;con_w;19
105;inc;10
105;inc_b;35
105;inc_w;16
105;osc;21
106;osc_b;51
106;osc_w;27
106;dec;33
106;dec_b;33
106;dec_w;33
106;con;64
106;con_b;40
106;con_w;53
106;inc;10
106;inc_b;39
106;inc_w;16
106;osc;21
107;osc_b;51
107;osc_w;27
107;dec;33
107;dec_b;33
107;dec_w;33
107;con;64
107;con_b;40
107;con_w;53
107;inc;10
107;inc_b;39
107;inc_w;16
107;osc;21
108;osc_b;51
108;osc_w;27
108;dec;33
108;dec_b;33
108;dec_w;33
108;con;64
108;con_b;51
108;con_w;53
108;inc;11
108;inc_b;39
108;inc_w;16
108;osc;21
109;osc_b;51
109;osc_w;27
109;dec;33
109;dec_b;33
109;dec_w;33
109;con;64
109;con_b;51
109;con_w;53
109;inc;11
109;inc_b;39
109;inc_w;16
109;osc;21
110;osc_b;51
110;osc_w;27
110;dec;33
110;dec_b;33
110;dec_w;33
110;con;64
110;con_b;51
110;con_w;53
110;inc;11
110;inc_b;39
110;inc_w;16
110;osc;21
111;osc_b;51
111;osc_w;27
111;dec;33
111;dec_b;33
111;dec_w;33
111;con;96
111;con_b;51
111;con_w;53
111;inc;11
111;inc_b;39
111;inc_w;16
111;osc;30
112;osc_b;51
112;osc_w;27
112;dec;33
112;dec_b;33
112;dec_w;33
112;con;96
112;con_b;51
112;con_w;53
112;inc;11
112;inc_b;39
112;inc_w;16
112;osc;36
113;osc_b;51
113;osc_w;27
113;dec;33
113;dec_b;33
113;dec_w;33
113;con;96
113;con_b;51
113;con_w;51
113;inc;11
113;inc_b;39
113;inc_w;16
113;osc;36
114;osc_b;51
114;osc_w;27
114;dec;33
114;dec_b;33
114;dec_w;33
114;con;96
114;con_b;51
114;con_w;51
114;inc;11
114;inc_b;39
114;inc_w;16
114;osc;36
115;osc_b;51
115;osc_w;27
115;dec;33
115;dec_b;33
115;dec_w;33
115;con;96
115;con_b;51
115;con_w;51
115;inc;11
115;inc_b;38
115;inc_w;16
115;osc;36
116;osc_b;51
116;osc_w;27
116;dec;33
116;dec_b;33
116;dec_w;33
116;con;96
116;con_b;51
116;con_w;51
116;inc;11
116;inc_b;38
116;inc_w;16
116;osc;36
117;osc_b;51
117;osc_w;27
117;dec;33
117;dec_b;33
117;dec_w;33
117;con;96
117;con_b;51
117;con_w;51
117;inc;11
117;inc_b;38
117;inc_w;16
117;osc;36
118;osc_b;51
118;osc_w;27
118;dec;33
118;dec_b;33
118;dec_w;33
118;con;96
118;con_b;51
118;con_w;51
118;inc;11
118;inc_b;41
118;inc_w;16
118;osc;36
119;osc_b;51
119;osc_w;27
119;dec;33
119;dec_b;33
119;dec_w;33
119;con;96
119;con_b;51
119;con_w;51
119;inc;11
119;inc_b;41
119;inc_w;16
119;osc;36
120;osc_b;51
120;osc_w;27
120;dec;33
120;dec_b;33
